iter	Passed	Remaining
434	1413	1835
435	1416	1832
436	1419	1828
437	1421	1824
438	1424	1819
439	1426	1815
440	1428	1811
441	1432	1807
442	1434	1804
443	1437	1800
444	1440	1796
445	1442	1791
446	1445	1787
447	1447	1783
448	1450	1779
449	1452	1775
450	1455	1771
451	1457	1767
452	1460	1763
453	1463	1760
454	1466	1756
455	1468	1752
456	1471	1748
457	1474	1744
458	1476	1740
459	1479	1736
460	1482	1733
461	1484	1729
462	1487	1725
463	1490	1721
464	1493	1718
465	1495	1714
466	1498	1710
467	1500	1706
468	1503	1702
469	1506	1698
470	1509	1695
471	1512	1691
472	1514	1687
473	1517	1684
474	1520	1680
475	1523	1677
476	1526	1673
477	1529	1669
478	1531	1666
479	1534	1662
480	1537	1658
481	1539	1654
482	1542	1650
483	1544	1646
484	1547	1643
485	1550	1639
486	1552	1635
487	1555	1632
488	1558	1628
489	1560	1624
490	1563	1620
491	1565	1616
492	1568	1612
493	1570	1608
494	1573	1605
495	1575	1601
496	1578	1597
497	1580	1593
498	1583	1589
499	1585	1585
500	1588	1581
501	1590	1578
502	1593	1574
503	1596	1570
504	1598	1567
505	1601	1563
506	1603	1559
507	1606	1555
508	1608	1551
509	1611	1548
510	1613	1544
511	1616	1540
512	1618	1536
513	1621	1532
514	1623	1528
515	1626	1525
516	1630	1522
517	1632	1519
518	1635	1515
519	1638	1512
520	1642	1510
521	1645	1506
522	1648	1503
523	1651	1499
524	1653	1496
525	1656	1493
526	1660	1489
527	1662	1486
528	1665	1482
529	1668	1479
530	1671	1476
531	1674	1472
532	1677	1469
533	1680	1466
534	1683	1462
535	1686	1459
536	1689	1456
537	1691	1452
538	1694	1449
539	1697	1446
540	1700	1442
541	1703	1439
542	1706	1435
543	1708	1432
544	1711	1428
545	1714	1425
546	1717	1422
547	1720	1418
548	1723	1415
549	1725	1411
550	1728	1408
551	1731	1405
552	1734	1402
553	1737	1398
554	1740	1395
555	1743	1392
556	1746	1388
557	1749	1385
558	1752	1382
559	1755	1378
560	1757	1375
561	1761	1372
562	1763	1368
563	1766	1365
564	1768	1361
565	1771	1358
566	1774	1355
567	1777	1351
568	1780	1348
569	1783	1345
570	1786	1341
571	1788	1338
572	1791	1335
573	1794	1331
574	1797	1328
575	1799	1324
576	1802	1321
577	1804	1317
578	1807	1314
579	1809	1310
580	1812	1306
581	1814	1303
582	1817	1299
583	1819	1296
584	1822	1292
585	1824	1289
586	1827	1285
587	1829	1282
588	1832	1278
589	1835	1275
590	1838	1272
591	1840	1268
592	1843	1265
593	1846	1261
594	1848	1258
595	1851	1255
596	1854	1251
597	1856	1248
598	1859	1244
599	1862	1241
600	1865	1238
601	1867	1234
602	1870	1231
603	1872	1227
604	1875	1224
605	1877	1220
606	1880	1217
607	1882	1213
608	1884	1210
609	1887	1206
610	1889	1203
611	1892	1199
612	1895	1196
613	1897	1192
614	1899	1189
615	1902	1185
616	1904	1182
617	1907	1178
618	1909	1175
619	1912	1171
620	1914	1168
621	1917	1165
622	1919	1161
623	1922	1158
624	1924	1154
625	1927	1151
626	1929	1147
627	1931	1144
628	1934	1140
629	1936	1137
630	1939	1134
631	1942	1131
632	1945	1127
633	1947	1124
634	1950	1120
635	1952	1117
636	1954	1114
637	1957	1110
638	1960	1107
639	1963	1104
640	1965	1101
641	1968	1097
642	1971	1094
643	1973	1091
644	1976	1087
645	1978	1084
646	1980	1080
647	1983	1077
648	1986	1074
649	1988	1070
650	1991	1067
651	1994	1064
652	1996	1060
653	1999	1057
654	2001	1054
655	2004	1050
656	2006	1047
657	2009	1044
658	2011	1040
659	2014	1037
660	2017	1034
661	2019	1031
662	2022	1027
663	2024	1024
664	2027	1021
665	2029	1017
666	2032	1014
667	2034	1011
668	2037	1008
669	2040	1004
670	2043	1001
671	2046	998
672	2049	995
673	2051	992
674	2054	989
675	2057	985
676	2060	982
677	2062	979
678	2065	976
679	2068	973
680	2070	969
681	2073	966
682	2076	963
683	2078	960
684	2081	957
685	2084	954
686	2087	950
687	2090	947
688	2093	944
689	2096	941
690	2098	938
691	2101	935
692	2104	932
693	2107	929
694	2109	925
695	2112	922
696	2115	919
697	2118	916
698	2120	913
699	2123	910
700	2126	907
701	2129	903
702	2131	900
703	2134	897
704	2137	894
705	2139	891
706	2142	887
707	2144	884
708	2147	881
709	2150	878
710	2153	875
711	2156	872
712	2158	868
713	2161	865
714	2164	862
715	2166	859
716	2169	856
717	2172	853
718	2174	849
719	2177	846
720	2180	843
721	2183	840
722	2185	837
723	2188	834
724	2191	831
725	2193	827
726	2196	824
727	2198	821
728	2201	818
729	2203	815
730	2206	811
731	2209	808
732	2211	805
733	2214	802
734	2217	799
735	2219	796
736	2222	793
737	2226	790
738	2229	787
739	2231	784
740	2234	780
741	2236	777
742	2239	774
743	2242	771
744	2245	768
745	2247	765
746	2250	762
747	2253	759
748	2255	755
749	2258	752
750	2260	749
751	2263	746
752	2265	743
753	2268	740
754	2270	736
755	2273	733
756	2275	730
757	2278	727
758	2280	724
759	2283	720
760	2285	717
761	2288	714
762	2290	711
763	2293	708
764	2295	705
765	2298	702
766	2300	698
767	2303	695
768	2305	692
769	2308	689
770	2311	686
771	2314	683
772	2316	680
773	2319	677
774	2321	673
775	2323	670
776	2326	667
777	2328	664
778	2331	661
779	2333	658
780	2336	655
781	2338	652
782	2341	648
783	2344	645
784	2346	642
785	2349	639
786	2352	636
787	2355	633
788	2357	630
