iter	Logloss
0	0.6928519777
1	0.692538938
2	0.6922602763
3	0.6920574931
4	0.6918019947
5	0.6915872132
6	0.691322704
7	0.6910311038
8	0.6905513498
9	0.6902162948
10	0.6899935476
11	0.6897656318
12	0.6895151598
13	0.6892241665
14	0.6889231587
15	0.6886744824
16	0.6883868912
17	0.6881400603
18	0.6877346716
19	0.6875364785
20	0.6870899941
21	0.686837922
22	0.686568302
23	0.6864283228
24	0.686147607
25	0.6857546691
26	0.6854575169
27	0.6852787348
28	0.6849493547
29	0.6847048728
30	0.6843389144
31	0.6841207109
32	0.6838959919
33	0.6836177705
34	0.6833357622
35	0.6830550705
36	0.6828618125
37	0.6825379649
38	0.6822453272
39	0.6819474814
40	0.6817670964
41	0.6814584787
42	0.6811727375
43	0.6809853591
44	0.6806070156
45	0.680359128
46	0.680034835
47	0.679852363
48	0.6795764972
49	0.6793429115
50	0.6789470064
51	0.6786357307
52	0.6784484576
53	0.6781369824
54	0.6779084637
55	0.6777300592
56	0.6774301287
57	0.6772061948
58	0.6769403234
59	0.6766251068
60	0.6764090819
61	0.6762073798
62	0.676076001
63	0.6758338353
64	0.6755725212
65	0.6752900401
66	0.6750344653
67	0.6747448033
68	0.6745660679
69	0.6743066889
70	0.6741410494
71	0.6737971665
72	0.6735480198
73	0.6733340433
74	0.673061435
75	0.6728711124
76	0.6725068466
77	0.6722933893
78	0.6721217893
79	0.6718196824
80	0.6715342062
81	0.6712582567
82	0.6710046618
83	0.6707790237
84	0.6704735648
85	0.6701573458
86	0.6698036022
87	0.66958599
88	0.6692645998
89	0.6689957497
90	0.6688320326
91	0.6685497569
92	0.6681901813
93	0.6678870729
94	0.6676050671
95	0.6672520362
96	0.667033122
97	0.666738358
98	0.6664400211
99	0.6662355494
100	0.666069263
101	0.6658527795
102	0.6656816436
103	0.6654096656
104	0.6651729449
105	0.6647790992
106	0.6646523718
107	0.6644651026
108	0.664267216
109	0.664043279
110	0.6637874874
111	0.6635489807
112	0.6632362678
113	0.6630579731
114	0.6628970311
115	0.6626443094
116	0.6624406571
117	0.6622349168
118	0.662077344
